Tamil	English	Domain
நீங்கள் எப்படி இருக்கீங்க?	How are you?	Conversation
நான் நல்லா இருக்கேன், நன்றி.	I am fine, thank you.	Conversation
உங்க பேர் என்ன?	What is your name?	Conversation
என் பேர் முருகன்.	My name is Murugan.	Conversation
நீங்க எங்க போறீங்க?	Where are you going?	Conversation
நான் கடைக்கு போறேன்.	I am going to the shop.	Conversation
இது எவ்வளவு?	How much does this cost?	Conversation
கொஞ்சம் தண்ணீர் குடுங்க.	Please give me some water.	Conversation
சாப்பிட்டீங்களா?	Have you eaten?	Conversation
இன்னும் சாப்பிடல.	I haven't eaten yet.	Conversation
வண்டி வருதா?	Is the bus coming?	Conversation
கொஞ்சம் நேரம் ஆகும்.	It will take some time.	Conversation
என்னோட போன் எங்க?	Where is my phone?	Conversation
அது மேஜை மேல இருக்கு.	It is on the table.	Conversation
நாளைக்கு வா.	Come tomorrow.	Conversation
இன்னைக்கு மழை பெய்யுமா?	Will it rain today?	Conversation
தெரியல, பாக்கணும்.	I don't know, we'll have to see.	Conversation
டாக்டர் கிட்ட போகணும்.	I need to go to the doctor.	Conversation
உடம்பு சரியில்ல.	I am not feeling well.	Conversation
கவலைப்படாதே.	Don't worry.	Conversation
சரியாயிடும்.	It will be alright.	Conversation
என்னோட வீடு இங்க தான் இருக்கு.	My house is right here.	Conversation
இந்த ஊர் ரொம்ப நல்லா இருக்கு.	This town is very nice.	Conversation
நான் வேலைக்கு லேட் ஆயிட்டேன்.	I am late for work.	Conversation
ஒரு நிமிஷம் நில்லுங்க.	Wait a moment, please.	Conversation
உங்களுக்கு தமிழ் தெரியுமா?	Do you know Tamil?	Conversation
கொஞ்சம் கொஞ்சம் தெரியும்.	I know a little bit.	Conversation
அவங்க யாரு?	Who are they?	Conversation
அவங்க என் அண்ணன்.	He is my elder brother.	Conversation
சந்தோஷமா இரு!	Be happy!	Conversation
வீட்டுல எல்லாரும் நலமா?	Is everyone at home doing well?	Conversation
இன்னைக்கு என்ன சாப்பிட்டீங்க?	What did you eat today?	Conversation
நேத்து தூக்கமே வரல.	I couldn't sleep at all last night.	Conversation
லைட் போயிடுச்சு.	The power has gone out.	Conversation
கரண்ட் எப்போ வரும்?	When will the electricity come back?	Conversation
கதவ தாழ் போட்டிருக்கியா?	Have you locked the door?	Conversation
காலைல எத்தனை மணிக்கு எழுந்திருந்த?	What time did you wake up in the morning?	Conversation
இன்னைக்கு ரொம்ப கஷ்டமா இருக்கு.	Today is very difficult.	Conversation
அவங்ககிட்ட பேசினீங்களா?	Did you talk to them?	Conversation
போன் பண்ண மறந்துட்டேன்.	I forgot to call.	Conversation
விலாசம் சொல்லுங்க.	Please tell me the address.	Conversation
நான் புதுசா இந்த ஊர்ல குடி வந்தேன்.	I have newly moved to this town.	Conversation
இங்க நல்ல ஹோட்டல் இருக்கா?	Is there a good restaurant here?	Conversation
வெயில் ரொம்ப அதிகமா இருக்கு.	It is very sunny today.	Conversation
ஃபேன் போட்டுருக்கியா?	Have you switched on the fan?	Conversation
